Year,None,Bronze,Silver,Gold
2013,0,1,0,0
2014,1,1,1,0
2015,1,0,2,0
2016,3,0,1,2
2017,2,0,4,1
2018,4,4,3,0
2019,4,4,3,0
2020,8,5,8,4
2021,10,10,8,4
2022,17,7,19,4
2023,11,6,16,4
