Publisher,None,Bronze,Silver,Gold
American Society for Microbiology,6,5,8,2
BioMed Central,9,2,4,3
Frontiers Media S.A.,8,7,23,2
MDPI,12,9,6,2
Public Library of Science,2,5,4,0
Springer Nature,8,3,10,6
